t_id_predio;numero_predial;destinacion_economica
749438;470010002000000071432000000000;Lote_Urbanizable_No_Urbanizado
781946;470010106000009300029500000001;Lote_Urbanizable_No_Urbanizado
1063894;470010110000000110004000000000;Lote_Urbanizable_No_Urbanizado
845852;470010107000001380064000000000;Lote_Urbanizable_No_Urbanizado
686393;470010002000000071439000000000;Lote_Urbanizable_No_Urbanizado
901675;470010115000004190020000000000;Lote_Urbanizable_No_Urbanizado
773095;470010002000000051934000000000;Lote_Urbanizable_No_Urbanizado
855849;470010110000000980013000000000;Lote_Urbanizado_No_Construido
1041439;470010110000000220002000000000;Lote_Urbanizable_No_Urbanizado
741379;470010106000009760008500000001;Lote_Urbanizable_No_Urbanizado
658833;470010107000000020007000000000;Lote_Urbanizado_No_Construido
925583;470010115000004130030000000000;Lote_Urbanizable_No_Urbanizado
927690;470010002000000071414000000000;Lote_Urbanizable_No_Urbanizado
750284;470010002000000071430000000000;Lote_Urbanizable_No_Urbanizado
1056888;470010002000000071806000000000;Lote_No_Urbanizable
818560;470010002000000051892000000000;Lote_Urbanizable_No_Urbanizado
669601;470010110000000900001000000000;Lote_Urbanizado_No_Construido
770030;470010002000000065545000000000;Lote_Urbanizable_No_Urbanizado
1006286;470010002000000071431000000000;Lote_Urbanizable_No_Urbanizado
880492;470010002000000071420000000000;Lote_Urbanizable_No_Urbanizado
675957;470010108000000190053000000000;Lote_Urbanizado_No_Construido
682317;470010102000002540060000000000;Lote_No_Urbanizable
701877;470010102000000290009000000000;Lote_Urbanizable_No_Urbanizado
1020744;470010104000000910064000000000;Lote_Urbanizable_No_Urbanizado
1006274;470010002000000071418000000000;Lote_Urbanizable_No_Urbanizado
995412;470010109000003690002000000000;Lote_Urbanizable_No_Urbanizado
708855;470010112000000190013000000000;Lote_Urbanizable_No_Urbanizado
828081;470010110000000870271000000000;Lote_Urbanizado_No_Construido
741929;470010107000001660028000000000;Lote_Urbanizable_No_Urbanizado
