t_id_predio;t_id_terreno_1;t_id_terreno_2
926803;1156227;1118706
890347;1087015;1127335
940435;1122092;1097963
703664;1073626;1135446
905048;1073507;1166242
992349;1165135;1150078
883467;1161138;1152219
1055522;1150078;1168798
1029083;1150078;1135676
882089;1085875;1127591
940435;1097963;1150079
797087;1073729;1157282
1017320;1073566;1169051
1027060;1097963;1140121
930150;1115245;1140059
1025354;1101638;1081873
937855;1092886;1073478
659703;1072677;1094435
995374;1178233;1172508
751445;1099329;1153197
902274;1174782;1078465
758996;1100298;1164885
1029773;1165463;1072503
1015456;1076914;1072784
661585;1073695;1173885
798674;1154195;1073500
666393;1173391;1100298
673095;1110644;1100547
1006516;1073460;1104535
840595;1111087;1117977
979395;1098963;1171299
749579;1114917;1073831
662679;1136696;1113719
867729;1073590;1087677
889060;1078105;1173654
658825;1099375;1072455
812180;1138303;1100191
878664;1135579;1113416
852555;1103647;1094234
818704;1077597;1116848
742401;1100547;1149608
698611;1073363;1122881
792726;1159020;1129498
907307;1117176;1073954
661375;1133135;1073566
809696;1154140;1072786
896111;1133274;1156607
768457;1111217;1101638
804778;1138655;1093409
753467;1129069;1131558
658819;1164882;1072450
658683;1165234;1073631
881383;1121736;1073498
773123;1165352;1100298
661201;1173376;1073438
764900;1138641;1163360
661449;1100688;1073626
906004;1078837;1128650
758996;1100298;1077002
859745;1081811;1095023
1010932;1145940;1104518
914506;1105767;1159020
673095;1100547;1118504
929268;1072466;1145027
1047651;1126546;1073631
659705;1072676;1127930
948183;1096652;1073966
995674;1104769;1123181
691547;1101638;1080344
789351;1073931;1175053
828919;1150078;1097608
836987;1094132;1165913
951681;1116455;1137407
760069;1119516;1080012
661449;1075463;1073626
953353;1137617;1119550
658770;1131400;1073842
659375;1073690;1101929
940435;1097963;1131242
708973;1175587;1100298
851968;1078068;1097013
695278;1174813;1150078
1009529;1072931;1132400
914506;1159020;1173583
1027060;1140121;1097963
758996;1166155;1100298
661293;1116958;1073844
807828;1116465;1173318
749559;1079521;1119551
668998;1073522;1086495
933680;1131687;1101638
659145;1073171;1110557
1025354;1132866;1101638
870025;1081760;1078519
724247;1104652;1097963
788473;1130810;1113434
705307;1178712;1099778
661039;1073375;1114742
1049493;1116614;1139604
868454;1159020;1084710
673095;1100547;1140160
1070416;1168098;1095190
786567;1134952;1098893
1025354;1085664;1101638
940834;1091516;1147561
925589;1089780;1176247
900731;1166559;1161703
1040853;1100191;1175356
881869;1092133;1086420
668169;1145943;1073849
940435;1097963;1158701
757425;1077537;1073924
758996;1147948;1100298
1025354;1101638;1127204
661441;1073616;1100502
925589;1166869;1089780
940435;1172047;1097963
952915;1100547;1107746
809793;1073626;1178656
717160;1073760;1073778
1016060;1140985;1073934
661665;1158903;1073743
664944;1096419;1134990
673095;1100547;1119336
725041;1099516;1103894
1012095;1089730;1123629
882047;1132476;1072751
668169;1074835;1073849
1017999;1116126;1158036
659689;1072673;1132860
735484;1152906;1100298
660353;1073593;1178488
907320;1073314;1108365
690051;1141718;1100904
661699;1112564;1073769
706927;1102983;1101638
1059678;1136519;1146348
658683;1073631;1083705
1058160;1073966;1083532
684299;1072727;1099527
659409;1073768;1107724
1005639;1167573;1101638
762605;1158430;1077534
754857;1120264;1126832
940527;1108938;1100298
659411;1127982;1072564
673095;1163954;1100547
663136;1143747;1114344
896469;1154239;1072863
903736;1073631;1087864
925589;1163186;1089780
1027119;1132405;1172798
878564;1073422;1125576
861604;1163437;1089649
1012117;1092340;1125233
914506;1163404;1159020
668956;1096859;1138723
969879;1122843;1146108
922098;1158701;1097963
971357;1169608;1101638
941645;1079907;1100298
795537;1147054;1092829
958564;1073441;1132676
661193;1080268;1073313
767234;1171212;1076001
673095;1153760;1100547
1025354;1101638;1115657
842655;1083988;1100547
973173;1073133;1082483
783209;1152377;1089038
907358;1073687;1110928
1023190;1087918;1072479
976873;1088580;1133310
661457;1073837;1096144
693359;1100298;1171442
661449;1124926;1073626
1021925;1084114;1147564
1058160;1080359;1073966
661187;1072855;1158580
1053840;1088373;1113416
658683;1176672;1073631
859411;1151915;1126165
927271;1132672;1155489
926486;1112326;1073736
918276;1103981;1157169
980786;1073914;1082786
988628;1116423;1174543
1025354;1101638;1099699
925577;1166869;1144507
869863;1145870;1147924
668169;1073849;1103680
661544;1073685;1075549
668900;1073641;1138002
758996;1083669;1100298
1009155;1118317;1073837
940435;1148175;1097963
896620;1105719;1159020
1059195;1089041;1072675
794602;1121235;1073869
739889;1100298;1148389
748501;1142070;1142478
660027;1120497;1072847
670418;1073615;1163882
721562;1073194;1096314
663181;1090112;1118706
659915;1076914;1072784
834901;1158828;1078701
661173;1098350;1072503
658683;1172617;1073631
1025354;1101638;1139898
962462;1096417;1175370
