t_id_predio;numero_predial;matricula_inmobiliaria
828739;470010110000000460801800000039;38969
808669;470010002000000070804800007168;131482
982618;470010105000002070801800000022;30700
732922;470010107000001560801800000005;86497
835624;470010109000002580801800000125;51340
874855;470010112000000940801800000007;51658
1052959;470010115000006470801800000003;66034
989473;470010002000000050801800000279;73794
996451;470010109000002580801800000113;82172
1009402;470010001000000020803800001655;62049
955947;470010107000001050801800000157;24263
855730;470010113000000350801800000035;71923
717478;470010107000000840801800000066;37901
1066155;470010107000000600801800000025;29306
1009832;470010104000001040801800000029;23439
926571;470010002000000050802800000378;68543
923907;470010110000000460801800000036;38966
719887;470010107000000630801800000011;34213
1040762;470010107000000530801800000018;942
1045241;470010002000000050801800000209;73668
898035;470010107000000560801800000072;40285
892603;470010108000000070801800000023;8766
971399;470010112000000940801800000177;51829
913364;470010111000002880801800000097;60348
1071671;470010107000001050801800000158;24264
773884;470010109000002580801800000050;51255
773879;470010109000002580801800000045;51250
913596;470010109000002580801800000233;51450
997834;470010107000000560801800000069;40282
963870;470010106000000230801800000023;68764
744026;470010002000000050801800000142;73656
737478;470010103000000450801800000098;38766
1027060;470010112000000940801800000168;51820
862505;470010109000002580801800000184;51400
1063270;470010103000000570801800000053;60830
925705;470010004000000020801800000292;60492
814636;470010109000002580801800000191;51407
1026174;470010004000000020801800000303;60503
861824;470010104000001070801800000031;65586
929348;470010002000000050801800000180;73692
982203;470010103000000570801800000035;60812
758540;470010107000000440801800000013;6961
684391;470010003000000010802800004057;128803
948031;470010107000001610801800000012;93072
739917;470010002000000040801800003968;103782
976720;470010103000000470801800000066;123892
967003;470010106000007690801800000024;63384
901844;470010102000002160802800000038;100579
1029091;470010112000000940801800000230;51882
663932;470010002000000070804800007177;131473
1035376;470010002000000050801800000132;73646
748375;470010004000000020801800000230;60430
955915;470010112000000940801800000143;51794
958117;470010109000002580801800000020;51215
945517;470010109000002580801800000287;105741
1034740;470010002000000060801800004622;107202
697315;470010112000000940801800000073;51724
1047733;470010107000001050801800000130;24247
1062399;470010115000000790801800000053;87193
882089;470010002000000070803800007091;133945
892687;470010110000000510801800000004;35649
1071662;470010107000001050801800000168;120473
771807;470010110000000460801800000018;38948
944475;470010107000001380801800000049;41659
872373;470010002000000050801800000260;73775
1063749;470010110000000170801800000026;32062
1001163;470010106000007680801800000003;63375
854216;470010106000007020801800000002;51039
979167;470010106000000230801800000046;68756
991986;470010112000000940801800000344;58285
985188;470010110000000490802800000072;59423
808071;470010002000000060801800004706;107289
710561;470010002000000070803800002187;131433
1003975;470010106000007670801800000004;63355
1029321;470010112000000940801800000012;51663
1014787;470010103000000590801800000047;57090
985192;470010110000000170801800000047;34626
739292;470010107000000810802800000351;79493
780885;470010002000000040801800004997;111280
707325;470010112000000940801800000071;51722
968317;470010103000000590801800000075;57062
836547;470010106000007050801800000006;51072
683787;470010106000007690801800000025;63383
736267;470010109000002580801800000336;105769
922094;470010112000000940801800000341;58282
1053660;470010002000000050801800000234;73741
978016;470010109000002580801800000225;51441
747633;470010002000000070801800006999;108026
1062403;470010105000000900801800000001;10419
764499;470010003000000010801800002011;94642
