t_id_predio;t_id_terreno_1;t_id_terreno_2
679142;1161069;1149552
898424;1145215;1129399
910009;1116831;1135935
724962;1111362;1121651
1052310;1144764;1085488
730977;1080279;1103797
1009225;1162818;1174781
944412;1119182;1096474
796822;1116831;1172709
704428;1159443;1074005
772916;1117473;1161091
772983;1112619;1105394
1031648;1122950;1125771
742033;1132146;1112022
1055217;1111315;1142566
749487;1141562;1112333
1072024;1081015;1112474
773555;1124430;1106549
800294;1111687;1091747
828867;1085598;1149848
818490;1139304;1095484
910458;1112411;1148331
769001;1111305;1112606
839157;1113004;1093971
935560;1116304;1074826
750484;1112448;1108623
831968;1151187;1139304
910136;1140393;1098662
710982;1087903;1112318
823534;1158516;1138944
709057;1103445;1111675
802324;1148145;1083568
705996;1081867;1087519
1071944;1172738;1075214
841781;1152833;1139304
905593;1127351;1172081
923169;1074844;1098841
990671;1077785;1080680
660311;1138944;1131079
769605;1136729;1154689
836724;1132006;1106305
694456;1171557;1112309
714190;1127585;1082802
960748;1112450;1161626
749666;1106607;1112346
749971;1112383;1095227
749901;1112371;1133984
948869;1091379;1124296
770357;1156448;1082429
750681;1145599;1112450
696905;1157567;1112158
690445;1140393;1179127
783751;1134398;1129453
674549;1160745;1082429
818490;1140393;1095484
746906;1130028;1117598
1070190;1075293;1092401
1061668;1174237;1076074
750392;1149607;1112422
746925;1148829;1095511
847203;1103546;1112019
1019850;1147353;1112335
893772;1157377;1168053
663129;1111675;1097529
816648;1082429;1093861
694456;1141995;1112309
1072229;1178093;1114801
769605;1125118;1136729
694456;1112309;1123869
779692;1112555;1085079
901207;1081498;1112400
730384;1093151;1111370
998380;1173598;1159801
883856;1148761;1139304
1005372;1143047;1112357
671117;1124745;1095821
1005782;1136729;1090587
888654;1165130;1140393
750842;1085409;1112462
1030651;1121550;1103369
704426;1111967;1119757
685853;1138676;1173480
937947;1167834;1076102
778381;1143106;1163254
980033;1076168;1112450
718697;1168828;1148569
960075;1141292;1124643
845782;1132407;1141954
988385;1120459;1125943
976139;1095405;1105727
824868;1126295;1152431
694456;1112309;1141995
709057;1111675;1100378
749248;1112267;1147330
745979;1112252;1153980
898164;1112318;1087903
1046157;1111234;1085490
3021750;1112309;1101060
793551;1111895;1123453
736627;1142094;1111909
750726;1112644;1140301
936014;1106569;1073619
1050104;1090714;1135775
828867;1149848;1174023
769605;1170333;1136729
728216;1111274;1111699
674335;1112380;1079910
1071035;1133960;1169314
809367;1111974;1096262
990665;1135445;1152176
796812;1133041;1157471
997363;1112730;1117744
760951;1115316;1087259
749714;1086975;1112354
751451;1112576;1139492
858174;1177159;1127320
770291;1082429;1169207
843434;1138360;1091379
907099;1140917;1139304
713868;1137259;1155204
778405;1074472;1128160
749365;1152513;1145215
793615;1125773;1142043
883856;1124808;1139304
751357;1112557;1138985
953180;1073087;1150188
830323;1151588;1152442
858958;1145091;1168864
748639;1111284;1077390
1030651;1103369;1121550
1035552;1093240;1096881
699950;1135938;1111577
994401;1173770;1146337
823833;1140562;1138083
889101;1138908;1178216
899745;1140393;1104248
883856;1139304;1076779
896844;1110404;1135379
910009;1085598;1116831
905956;1124745;1101632
717081;1114164;1111315
827874;1087159;1145340
749375;1084531;1112313
751248;1112542;1137556
752342;1159516;1112596
740734;1092953;1112320
659227;1136913;1107807
724905;1085924;1112608
869935;1173770;1099258
839375;1111228;1148368
689862;1157377;1178828
939946;1077663;1076499
1045703;1112644;1145149
770123;1082429;1097885
1039457;1179182;1127317
918526;1164036;1112701
859481;1141743;1128418
779869;1085945;1166743
819028;1110568;1147337
678985;1081826;1112365
883856;1137650;1139304
770291;1082429;1172051
743061;1084351;1112077
834491;1175487;1125723
675298;1142038;1156762
807039;1112641;1124345
746017;1107720;1083669
976726;1082429;1160375
680238;1117056;1091585
749385;1092949;1111229
922333;1160000;1127091
682168;1154069;1125108
856319;1161385;1116883
776471;1153029;1128300
892752;1140393;1082528
895533;1107934;1091439
770291;1082429;1153086
942607;1079518;1111801
1048843;1091366;1112309
924572;1163618;1075316
978870;1096010;1122024
1020254;1178887;1082429
688207;1124566;1137406
694456;1112309;1138758
964200;1102267;1100558
893376;1173770;1170949
714118;1143047;1112357
942532;1129683;1116684
743959;1111197;1112750
938735;1129916;1112380
962692;1144764;1170207
675754;1111669;1159257
660442;1082297;1088740
820302;1160139;1136729
747002;1111324;1170342
1019154;1108302;1089979
1007141;1090094;1112458
769605;1082919;1136729
827422;1127488;1111331
883856;1139304;1160178
1056564;1137115;1152653
786948;1129406;1112652
794399;1169727;1179208
935695;1151258;1159443
714935;1124745;1126072
662650;1112309;1156466
813536;1168864;1105324
820479;1103083;1111245
1001749;1154470;1169727
690445;1131804;1140393
871816;1122672;1111257
923912;1118946;1111567
750157;1112397;1137103
769605;1136729;1108350
961698;1178372;1154500
1057819;1155868;1112429
751400;1112567;1081462
829731;1082971;1170138
770129;1085618;1136729
888465;1153515;1158455
703496;1127465;1140393
779869;1085945;1115434
808151;1129433;1112460
885714;1140393;1166438
778648;1085631;1176246
779948;1120715;1112486
725330;1112457;1150169
770165;1128348;1136729
666059;1150304;1136729
845882;1112252;1162542
734027;1158024;1111756
779869;1131899;1085945
942311;1122950;1178372
749538;1112341;1102509
958144;1175327;1151799
827819;1076859;1146337
764622;1135628;1177501
1054741;1158201;1170148
690445;1140393;1137650
1025692;1093385;1106186
792030;1085945;1166743
756021;1090939;1111675
677676;1155392;1144764
748726;1113405;1112409
871567;1112891;1073619
