t_id_predio;numero_predial;condicion_predio;destinacion_economica;uso_construccion
936670;470010001000000021635000000000;NPH;Recreacional;
796887;470010002000000050801800000100;Condominio.Unidad_Predial;Recreacional;
795535;470010004000000020801800000316;Condominio.Unidad_Predial;Recreacional;
866454;470010106000008910001000000000;NPH;Recreacional;
937589;470010004000000020134000000000;NPH;Recreacional;
1046583;470010111000000710005000000000;NPH;Recreacional;
937494;470010001000000021476000000000;NPH;Recreacional;
962013;470010002000000050801800000136;Condominio.Unidad_Predial;Recreacional;
1054439;470010002000000050801800000167;Condominio.Unidad_Predial;Recreacional;
973942;470010002000000050801800000262;Condominio.Unidad_Predial;Recreacional;
676538;470010001000000020803800001663;Condominio.Unidad_Predial;Recreacional;
998310;470010002000000050802800000369;Condominio.Unidad_Predial;Recreacional;
998656;470010001000000020803800001655;Condominio.Unidad_Predial;Recreacional;
970514;470010003000000030207000000000;NPH;Recreacional;
762995;470010110000001110015000000000;NPH;Recreacional;
663514;470010107000001370081000000000;NPH;Recreacional;
869071;470010102000004200001000000000;NPH;Recreacional;
803285;470010002000000050802800000379;Condominio.Unidad_Predial;Recreacional;
798651;470010001000000020803800001685;Condominio.Unidad_Predial;Recreacional;
1025991;470010004000000010012000000000;NPH;Recreacional;
712060;470010106000006220001000000000;NPH;Recreacional;
721399;470010106000008650001000000000;NPH;Recreacional;
847423;470010106000011750001000000000;NPH;Recreacional;
946682;470010002000000050801800000198;Condominio.Unidad_Predial;Recreacional;
928160;470010002000000050801800000193;Condominio.Unidad_Predial;Recreacional;
959870;470010109000002110001000000000;NPH;Recreacional;
794931;470010001000000020803800001669;Condominio.Unidad_Predial;Recreacional;
794941;470010001000000020803800001670;Condominio.Unidad_Predial;Recreacional;
795017;470010002000000050801800000154;Condominio.Unidad_Predial;Recreacional;
1038896;470010002000000050801800000131;Condominio.Unidad_Predial;Recreacional;
772128;470010115000000730064500000001;Parque_Cementerio.Unidad_Predial;Recreacional;
763384;470010102000004230001000000000;NPH;Recreacional;
763787;470010106000011740001000000000;NPH;Recreacional;
958189;470010111000000690004000000000;NPH;Recreacional;
773879;470010101000000380001000000000;NPH;Recreacional;
799461;470010002000000050801800000277;Condominio.Unidad_Predial;Recreacional;
937527;470010002000000050801800000321;Condominio.Unidad_Predial;Recreacional;
795651;470010004000000020801800000343;Condominio.Unidad_Predial;Recreacional;
811006;470010107000001460001000000000;NPH;Recreacional;
665290;470010002000000050801800000162;Condominio.Unidad_Predial;Recreacional;
795107;470010003000000030119500000052;Parque_Cementerio.Unidad_Predial;Recreacional;
790144;470010106000008960001000000000;NPH;Recreacional;
976104;470010003000000030119500000001;Parque_Cementerio.Unidad_Predial;Recreacional;
807993;470010103000004700002000000000;NPH;Recreacional;
1021958;470010002000000050801800000299;Condominio.Unidad_Predial;Recreacional;
795346;470010004000000020801800000299;Condominio.Unidad_Predial;Recreacional;
1045852;470010002000000050802800000330;Condominio.Unidad_Predial;Recreacional;
799687;470010002000000050801800000213;Condominio.Unidad_Predial;Recreacional;
661019;470010002000000050802800000363;Condominio.Unidad_Predial;Recreacional;
928050;470010102000004490002000000000;NPH;Recreacional;
