t_id_predio;numero_predial;condicion_predio;destinacion_economica
835767;470010900000001940013500000001;Parque_Cementerio.Unidad_Predial;Forestal
3012969;470010107000000080911900000526;PH.Unidad_Predial;Forestal
770343;470010106000011540029500000001;Parque_Cementerio.Unidad_Predial;Forestal
1042162;470010107000000300905901101002;PH.Unidad_Predial;Forestal
3012222;470010107000000740901902160047;PH.Unidad_Predial;Forestal
3010269;470010107000000260902901010001;PH.Unidad_Predial;Agropecuario
3007584;470010110000000640905901010809;PH.Unidad_Predial;Forestal
959676;470010110000000400903901020377;PH.Unidad_Predial;Forestal
985331;470010107000000530903901110097;PH.Unidad_Predial;Forestal
979704;470010110000001590901901000017;PH.Unidad_Predial;Agropecuario
967157;470010104000000640901901111101;PH.Unidad_Predial;Forestal
3023301;470010110000000400904901030894;PH.Unidad_Predial;Forestal
3025230;470010107000000600901902040055;PH.Unidad_Predial;Forestal
997864;470010105000002510005000000000;NPH;Forestal
673503;470010115000006650901900000988;PH.Unidad_Predial;Forestal
1018443;470010107000000690907901020388;PH.Unidad_Predial;Forestal
943085;470010104000000020903901010271;PH.Unidad_Predial;Agropecuario
941026;470010107000000130903901040121;PH.Unidad_Predial;Forestal
972926;470010104000000280902901050153;PH.Unidad_Predial;Forestal
3022392;470010110000000540902901010051;PH.Unidad_Predial;Forestal
1024797;470010104000000280902901010052;PH.Unidad_Predial;Forestal
999658;470010115000006650904900002710;PH.Unidad_Predial;Forestal
860464;470010106000009040045500000001;Parque_Cementerio.Unidad_Predial;Forestal
772484;470010114000001290001500000023;Parque_Cementerio.Unidad_Predial;Forestal
991636;470010115000006840026000000000;NPH;Forestal
789288;470010106000004530009000000000;NPH;Forestal
